USER     PID   PPID  VSIZE  RSS     WCHAN    PC         NAME
wifi      1519  1     3364   484   ffffffff 00000000 S /system/bin/wpa_supplicant
root      1594  3     0      0     ffffffff 00000000 S RTW_CMD_THREAD
system    1609  744   280048 6240  ffffffff 00000000 S com.skyworth.android.skyRMService
system    1618  744   361400 15596 ffffffff 00000000 S com.tianci.system
root      1650  3     0      0     ffffffff 00000000 S kworker/3:2
root      1690  1     2120   40    ffffffff 00000000 S /system/vendor/bin/skybusybox/busybox
dhcp      1744  1     1024   0     ffffffff 00000000 S /system/bin/dhcpcd
u0_a15    1834  744   335144 14268 ffffffff 00000000 S com.coocaa.os.ccosservice
system    1869  744   308824 10380 ffffffff 00000000 S com.tianci.push
system    1959  744   391772 13316 ffffffff 00000000 S com.tianci.de
system    2032  744   296052 7892  ffffffff 00000000 S com.coocaa.os.softsettings.provider
shell     2086  1409  2856   444   c01cce70 b6eb66e8 S logcat
u0_a2     2242  744   280572 4980  ffffffff 00000000 S android.process.media
system    8000  744   294232 7048  ffffffff 00000000 S com.dunn.instrument
root      8065  1690  928    4     ffffffff 00000000 S /system/bin/sh
root      8117  8065  280736 328   ffffffff 00000000 S app_process
root      11908 3     0      0     ffffffff 00000000 S kworker/u:2H
system    12501 744   665676 92360 ffffffff 00000000 S com.tianci.movieplatform
root      12732 3     0      0     ffffffff 00000000 S kworker/1:2
root      16322 3     0      0     ffffffff 00000000 S kworker/u:2
system    16566 744   446048 46328 ffffffff 00000000 S com.tianci.movieplatform:daemon
root      17751 3     0      0     ffffffff 00000000 S kworker/2:0
root      18757 3     0      0     ffffffff 00000000 S kworker/u:0H
root      21593 3     0      0     ffffffff 00000000 S kworker/u:1
root      21765 3     0      0     ffffffff 00000000 S kworker/u:1H
u0_a14    22654 744   305948 24436 ffffffff 00000000 S com.coocaa.sysreport
u0_a18    22783 744   327504 27852 ffffffff 00000000 S com.tianci.user
shell     23016 1409  1240   232   00000000 b6f5f2d8 R ps
